Solvent,CHEM21,CHEM21 Numerical,Molecular Weight,BP /degC,Density g/cm3,Viscosity /cP,Vapour Pressure /mmHg,Refractive index,logP,Dipole moment (D),Dielectric constant,Alpha,Beta,Pi,Dispersion,Polarity,H Bonding,Molar Vol,Safety,Health,Environment,LD50,IGC50,% enol,"CHEM21 (0=bad, 0.5 = acceptable, 1=good)",Esterification,Thioester,Delapine,Functional Group,Grignard,Amide,C-C Heck,C-C Baylis,Suzuki-Miyaura Pd,Buchwald-Hartwig,Alkene metathesis,Suzuki-Miyaura Ni,Sn2/SnAr,Alcohol oxidation,Ester hydrolysis,cost £/L
Water,Recommended,3,18.0152,100,0.995,0.9,23.8,1.333,-1.38,1.85,80.1,1.17,0.47,1.09,15.5,16,42.3,18,1,1,1,,,,1,,,76,No Group,,,,,,,,,,,70,14.3
Ethanol,Recommended,3,46.0688,78.2,0.78,1.07,59.29,1.361,-0.31,1.72,23.46,0.86,0.75,0.54,15.8,8.8,19.4,58.5,4,3,3,0.98,0.81,77,1,,,,Alcohol,,,,,,,,,,,70,40
Methanol,Recommended,3,32.042,64.7,0.75,0.55,127.06,1.329,-0.77,1.7,32.7,0.98,0.66,0.6,15.1,12.3,22.3,40.7,4,7,5,0.74,0.76,74,1,,,,Alcohol,,,,,,,30,,,,70,31
Isopropyl alcohol,Recommended,3,60.0956,82.3,0.79,2.04,45.39,1.377,0.05,1.65,19.92,0.76,0.95,0.48,15.8,6.1,16.4,76.8,4,3,3,1.23,1.08,,,,,96,Alcohol,,85,,,,,30,,,,70,47
i-Butanol,No Ranking,,74.1224,107.8,0.8,3.37,10.5,1.395,0.76,1.8,17.7,0.79,0.84,0.4,15.1,5.7,15.9,92.8,3,4,3,1.74,1.48,,,,,,Alcohol,,,,,,,,,,,,60
t-Butanol,Recommended,3,74.1224,82.4,0.81,3.87,40.74,1.3878,0.35,1.67,10.6,0.42,0.93,0.41,15.2,5.1,14.7,95.8,4,3,3,1.49,1.43,,1,,,,Alcohol,,,,,,,,,,,,34
Ethylene glycol,Recommended,3,62.0682,197.3,1.1,15.78,0.092,1.4318,-1.36,2.28,37.7,0.9,0.52,0.92,17,11,26,55.8,1,2,5,0.78,1.12,,1,,,,No Group,,,,,,,,,,,,23
2-Methoxyethanol,Hazardous,1,76.095,124.1,0.96,1.6,9.51,1.4024,-0.77,2.77,16.93,,,0.71,16.2,9.2,16.4,79.1,3,9,3,1.11,1.51,,,,,,No Group,,,,,,,,,,,,40
i-Amyl alcohol,No Ranking,,88.1492,131.1,0.81,3.93,2.37,1.4075,1.16,1.72,10.72,0.84,0.86,0.4,15.8,3.1,7,148.8,3,2,3,2,1.83,,,,,,No Group,,,,,,,,,,,,62
Benzyl alcohol,Problematic,2,108.1396,205.3,1.05,5.13,0.094,1.5396,1.1,1.7,13,0.6,0.52,0.98,18.4,6.3,13.7,103.6,1,2,7,2.35,1.94,,1,,,,No Group,,,,,,,,,,,,25
Pentane,Hazardous,1,72.1498,36,0.63,0.22,514.04,1.3575,3.39,0,1.82,0,0,-0.08,15.6,0,0,116.2,8,3,7,2.87,2.26,,0,,,,Alkane,,,,,,,,,,,,71
Hexane,Hazardous,1,86.1766,68.7,0.66,0.3,151.01,1.3727,3.9,0,1.88,0,0,-0.04,14.9,0,0,131.6,8,7,7,3.22,0.54,95,0,,,,Alkane,,,,,,20,,,,,,70
Cyclohexane,Problematic,2,84.1608,80.7,0.79,0.9,96.83,1.42662,3.44,0,2,0,0,0,16.8,0,0.2,108.7,6,3,7,3.21,0.82,,0.5,,,,Alkane,,,,,,70,,,,,,21.5
Methyl cyclohexane,Problematic,2,98.1876,100.9,0.78,0.69,46.03,1.4231,3.61,0,2.02,,,,16,0,1,128.3,6,2,7,3.32,,,0.5,,,,Alkane,,,,,,,,,,,,30
Heptane,Problematic,2,100.2034,98.5,0.69,0.39,46.03,1.3855,4.66,0,1.92,0,0,-0.08,15.3,0,0,147.4,6,2,7,3.47,,,0.5,,,,Alkane,,,,,,80,,,,,,47
Benzene,Highly Hazardous,0,78.1134,80,0.87,0.61,94.84,1.5011,2.13,0,2.25,0,0.1,0.59,18.4,0,2,89.4,6,10,3,2.91,1.92,89,0,,,,Arene,,,,,,,,,,,,48
Toluene,Problematic,2,92.1402,110.6,0.87,0.55,28.38,1.4967,2.73,0.36,2.43,0,0.11,0.54,18,1.4,2,106.8,5,6,3,2.95,2.16,,0.5,,,,Arene,,,15,,,90,70,100,,,,30
p-Xylene,No Ranking,,106.167,138.3,0.87,0.61,8.83,1.49575,3.15,0.02,2.27,0,0.12,0.43,17.6,1,3.1,123.3,4,2,5,3.3,1.33,,0.5,,,,Arene,,,,,,,,,,,,49
Ethyl acetate,Recommended,3,88.106,77.1,0.9,0.42,93.11,1.3723,0.73,1.78,6.03,0,0.45,0.55,15.8,5.3,7.2,98.5,5,3,3,1.74,1.2,,1,,57,99,No Group,,95,,,95,72,99,100,,80,,28
Isopropylacetate,Recommended,3,102.1328,88.6,0.89,0.53,60.39,1.3773,1.02,1.78,6.3,0,0.4,0.5,14.9,4.5,8.2,117.1,4,2,3,1.88,1.18,,1,86,,96,No Group,,,,,96,77,,100,,80,,27
Dimethyl carbonate,No Ranking,,90.0786,90.5,1.02,0.56,55.46,1.3687,0.23,0.76,3.17,0,0.43,,15.5,3.9,9.7,84.2,4,1,3,,0.84,,,88,95,99,No Group,,95,,,98,79,97,,,,,41
Ethylene carbonate,No Ranking,,88.0628,248,1.31,0.83,0.00979,1.4148,-0.34,4.81,89.78,0,0.41,,19.4,21.7,5.1,66,1,2,7,,0.94,,,,,,No Group,,,,,,,,,,,,38
Acetone,Recommended,3,58.0798,56,0.77,0.31,231.74,1.3588,-0.24,2.9,21.36,0.08,0.43,0.71,15.5,10.4,7,74,5,3,5,1.16,1,,1,,,,No Group,,,,,,,,96,,,,28
Methyl ethyl ketone,Recommended,3,72.1066,79.5,0.79,0.4,90.57,1.3788,0.29,2.78,18.85,0.06,0.48,0.67,16,9,5.1,90.1,5,3,3,1.64,1.42,,,,,,No Group,,,,,,,,,,,,24
Methyl isobutyl ketone,Recommended,3,100.1602,116.5,0.8,0.54,19.91,1.3962,1.31,2.56,13.11,0.02,0.48,0.65,15.3,6.1,4.1,125.8,4,2,3,2.11,1.68,,,,,,No Group,,,,,,,,,,,,30
Cyclohexanone,Recommended,3,98.1444,155.4,0.95,2.02,4.33,1.4507,0.81,2.87,16.05,0,0.53,0.76,17.8,6.3,5.1,104,4,2,3,2.25,1.81,,0.5,,,,No Group,,,,,,,,,,,,29
t-Butyl methyl ether,Recommended,3,88.1492,55.2,0.75,0.64,250.03,1.3664,0.94,1.23,2.6,,,,15.2,5.1,14.7,95.8,8,3,5,1.66,1.34,,0.5,,,,No Group,,50,,,98,92,,100,,70,,45
Diethyl ether,Highly Hazardous,0,74.1224,34.6,0.73,0.22,538.27,1.35555,0.89,1.25,4.42,0,0.47,0.27,14.5,2.9,5.1,104.8,10,3,7,1.59,1.78,95,0,,,,No Group,75,,,,,,,,,,,20
Tetrahydrofuran,Problematic,2,72.1066,65,0.9,0.46,162.18,1.405,0.46,1.75,7.47,0,0.55,0.58,16.8,5.7,8,81.7,6,7,5,1.58,1.64,,0.5,,,,No Group,80,90,,,94,,,,,,80,27
Methyl tetrahydrofuran,Problematic,2,86.1334,78,0.86,0.58,97.27,1.4022,1.35,1.38,7,0,0.45,,16.9,5,4.3,100.2,6,7,5,1.77,,,0.5,80,94,,No Group,80,90,,,96,98,94,100,,70,,54
Cyclopentyl methyl ether,No Ranking,,100.1602,116.12,0.91,0.95,28.45,1.423,1.85,,,0,0.53,0.42,16.7,4.3,4.3,,7,2,5,2.05,,,,88,95,70,No Group,45,50,15,50,98,63,99,,,,,87
Acetic anhydride,Problematic,2,102.0896,139.5,1.07,0.85,5.11,1.3901,-0.27,3.2,20,0,0.29,0.76,16,11.7,10.2,94.5,3,7,3,,1.76,,0.5,,,,No Group,,,,,,,,,,,,40
Acetic acid,Problematic,2,60.0524,117.9,1.07,1.05,15.7,1.372,-0.17,1.7,6.2,1.12,0.45,0.64,14.5,8,13.5,57.1,3,7,3,1.23,1.26,67,0.5,,,,No Group,,,,,,,,,,,,36
Dichloromethane,Hazardous,1,84.9328,40,1.25,0.41,434.51,1.4244,1.25,1.6,8.93,0.13,0.1,0.82,18.2,6.3,6.1,63.9,1,7,7,2.47,1.73,,0,85,91,,No Group,,100,,,,,97,,,90,90,19
"N,N-Dimethylformamide",Hazardous,1,73.0944,153,0.88,0.81,3.87,1.42083,-1.01,3.86,36.7,0,0.69,0.88,17.4,13.7,11.3,77,3,9,5,,1.42,,,,100,,No Group,,100,77,88,90,,,,80,,70,32
Carbon tetrachloride,Highly Hazardous,0,153.823,76.8,1.7,0.91,115.08,1.4601,2.83,0,2.3,0,0,0.28,17.8,0,0.6,97.1,2,7,10,3.51,1.82,96,0,,,,No Group,,,,,,,,,,,,10000
Chloroform,Highly Hazardous,0,119.3779,61.1,1.48,0.54,196.79,1.4459,1.97,1.01,4.89,0.2,0.1,0.58,17.8,3.1,5.7,80.7,2,7,5,3.11,2.23,87,0,,,97,No Group,,,,,,,,,,,,30
"1,2-Dichloroethane",Highly Hazardous,0,98.9596,83.5,1.17,0.78,78.89,1.4422,1.48,1.28,10.7,0,0.1,0.81,19,7.4,4.1,79.4,4,10,3,3.08,2.17,,0,,,,No Group,,100,,,,,95,,,,,28
